Period,Provider Parent Org Code,Provider Parent Name,Provider Org Code,Provider Org Name,Local Authority Code,Local Authority Name,Acute Or Non Acute Description,Reason For Delay,NHS DTOC Beds,NHS,Social Care DTOC beds,Social Care,Both DTOC Beds,Both B
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,A_COMPLETION_ASSESSMENT,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,B_PUBLIC_FUNDING,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,C_FURTHER_NON_ACUTE_NHS,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,DI_RESIDENTIAL_HOME,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,DII_NURSING_HOME,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,E_CARE_PACKAGE_IN_HOME,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,F_COMMUNITY_EQUIP_ADAPT,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,G_PATIENT_FAMILY_CHOICE,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,H_DISPUTES,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Acute,I_HOUSING,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,A_COMPLETION_ASSESSMENT,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,B_PUBLIC_FUNDING,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,C_FURTHER_NON_ACUTE_NHS,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,DI_RESIDENTIAL_HOME,1.933333333,58,0.5,15,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,DII_NURSING_HOME,4.366666667,131,0.8,24,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,E_CARE_PACKAGE_IN_HOME,1.5,45,1.666666667,50,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,F_COMMUNITY_EQUIP_ADAPT,1.766666667,53,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,G_PATIENT_FAMILY_CHOICE,0.866666667,26,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,H_DISPUTES,0,0,0,0,0,0
MSitDT-June-2018,Q86,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),AXG,WILTSHIRE HEALTH & CARE,817,WILTSHIRE,Non-Acute,I_HOUSING,0,0,0,0,0,0
